year,source_name,electricity_twh
1965,Hydro,25.515
1965,Solar,0.0
1965,Wind,0.0
1966,Hydro,27.906
1966,Solar,0.0
1966,Wind,0.0
1967,Hydro,29.189
1967,Solar,0.0
1967,Wind,0.0
1968,Hydro,30.55
1968,Solar,0.0
1968,Wind,0.0
1969,Hydro,32.692
1969,Solar,0.0
1969,Wind,0.0
1970,Hydro,39.801
1970,Solar,0.0
1970,Wind,0.0
1971,Hydro,43.199
1971,Solar,0.0
1971,Wind,0.0
1972,Hydro,50.681
1972,Solar,0.0
1972,Wind,0.0
1973,Hydro,57.89
1973,Solar,0.0
1973,Wind,0.0
1974,Hydro,65.679
1974,Solar,0.0
1974,Wind,0.0
1975,Hydro,72.287
1975,Solar,0.0
1975,Wind,0.0
1976,Hydro,82.913
1976,Solar,0.0
1976,Wind,0.0
1977,Hydro,93.48
1977,Solar,0.0
1977,Wind,0.0
1978,Hydro,102.746
1978,Solar,0.0
1978,Wind,0.0
1979,Hydro,116.58
1979,Solar,0.0
1979,Wind,0.0
1980,Hydro,128.907
1980,Solar,0.0
1980,Wind,0.0
1981,Hydro,130.765
1981,Solar,0.0
1981,Wind,0.0
1982,Hydro,141.132
1982,Solar,0.0
1982,Wind,0.0
1983,Hydro,151.475
1983,Solar,0.0
1983,Wind,0.0
1984,Hydro,166.593
1984,Solar,0.0
1984,Wind,0.0
1985,Hydro,178.375
1985,Solar,0.0
1985,Wind,0.0
1986,Hydro,182.419
1986,Solar,0.0
1986,Wind,0.0
1987,Hydro,185.6
1987,Solar,0.0
1987,Wind,0.0
1988,Hydro,199.093
1988,Solar,0.0
1988,Wind,0.0
1989,Hydro,204.69
1989,Solar,0.0
1989,Wind,0.0
1990,Hydro,206.708
1990,Solar,0.0
1990,Wind,0.0
1991,Hydro,217.782
1991,Solar,0.0
1991,Wind,0.0
1992,Hydro,223.343
1992,Solar,0.0
1992,Wind,0.0
1993,Hydro,235.065
1993,Solar,0.0
1993,Wind,0.0
1994,Hydro,242.705
1994,Solar,0.0
1994,Wind,0.0
1995,Hydro,253.905
1995,Solar,0.0
1995,Wind,0.0
1996,Hydro,265.736
1996,Solar,0.0
1996,Wind,0.002
1997,Hydro,278.973
1997,Solar,0.0
1997,Wind,0.004
1998,Hydro,291.469
1998,Solar,0.0
1998,Wind,0.005
1999,Hydro,293.0
1999,Solar,0.0
1999,Wind,0.002
2000,Hydro,304.4
2000,Solar,0.0
2000,Wind,0.0
2001,Hydro,267.88
2001,Solar,0.0
2001,Wind,0.03
2002,Hydro,286.09
2002,Solar,0.0
2002,Wind,0.06
2003,Hydro,305.62
2003,Solar,0.0
2003,Wind,0.06
2004,Hydro,320.8
2004,Solar,0.0
2004,Wind,0.06
2005,Hydro,337.46
2005,Solar,0.0
2005,Wind,0.09
2006,Hydro,348.8
2006,Solar,0.0
2006,Wind,0.24
2007,Hydro,374.02
2007,Solar,0.0
2007,Wind,0.66
2008,Hydro,369.56
2008,Solar,0.0
2008,Wind,1.18
2009,Hydro,390.99
2009,Solar,0.0
2009,Wind,1.24
2010,Hydro,403.29
2010,Solar,0.0
2010,Wind,2.18
2011,Hydro,428.33
2011,Solar,0.0
2011,Wind,2.7
2012,Hydro,415.34
2012,Solar,0.0
2012,Wind,5.05
2013,Hydro,390.99
2013,Solar,0.0
2013,Wind,6.58
2014,Hydro,373.44
2014,Solar,0.02
2014,Wind,12.21
2015,Hydro,359.74
2015,Solar,0.06
2015,Wind,21.63
2016,Hydro,380.91
2016,Solar,0.09
2016,Wind,33.49
2017,Hydro,370.91
2017,Solar,0.83
2017,Wind,42.37
2018,Hydro,388.97
2018,Solar,3.46
2018,Wind,48.48
2019,Hydro,397.88
2019,Solar,6.65
2019,Wind,55.99
2020,Hydro,396.38
2020,Solar,10.75
2020,Wind,57.05
2021,Hydro,362.82
2021,Solar,16.75
2021,Wind,72.29
2022,Hydro,427.11
2022,Solar,30.13
2022,Wind,81.63
2023,Hydro,426.0
2023,Solar,50.63
2023,Wind,95.8
2024,Hydro,413.21
2024,Solar,71.32
2024,Wind,108.49
2025,Hydro,388.63
2025,Solar,88.64
2025,Wind,117.58
