cohort_year,years_since_threshold,cohort_size,retained_countries,retention_pct
2009,0,2,2,100.0
2009,1,2,2,100.0
2009,2,2,2,100.0
2009,3,2,2,100.0
2009,4,2,2,100.0
2009,5,2,2,100.0
2009,6,2,2,100.0
2009,7,2,2,100.0
2009,8,2,2,100.0
2009,9,2,2,100.0
2009,10,2,2,100.0
2009,11,2,2,100.0
2009,12,2,2,100.0
2009,13,2,2,100.0
2009,14,2,2,100.0
2009,15,2,2,100.0
2009,16,2,2,100.0
2010,0,4,4,100.0
2010,1,4,4,100.0
2010,2,4,4,100.0
2010,3,4,4,100.0
2010,4,4,4,100.0
2010,5,4,3,75.0
2010,6,4,4,100.0
2010,7,4,4,100.0
2010,8,4,4,100.0
2010,9,4,4,100.0
2010,10,4,4,100.0
2010,11,4,4,100.0
2010,12,4,4,100.0
2010,13,4,4,100.0
2010,14,4,1,25.0
2011,0,9,9,100.0
2011,1,9,9,100.0
2011,2,9,9,100.0
2011,3,9,9,100.0
2011,4,9,9,100.0
2011,5,9,9,100.0
2011,6,9,9,100.0
2011,7,9,9,100.0
2011,8,9,9,100.0
2011,9,9,9,100.0
2011,10,9,9,100.0
2011,11,9,9,100.0
2011,12,9,9,100.0
2011,13,9,8,88.89
2011,14,9,6,66.67
2012,0,5,5,100.0
2012,1,5,4,80.0
2012,2,5,4,80.0
2012,3,5,4,80.0
2012,4,5,4,80.0
2012,5,5,4,80.0
2012,6,5,4,80.0
2012,7,5,4,80.0
2012,8,5,5,100.0
2012,9,5,5,100.0
2012,10,5,5,100.0
2012,11,5,5,100.0
2012,12,5,5,100.0
2012,13,5,2,40.0
2013,0,8,8,100.0
2013,1,8,8,100.0
2013,2,8,8,100.0
2013,3,8,8,100.0
2013,4,8,8,100.0
2013,5,8,8,100.0
2013,6,8,8,100.0
2013,7,8,8,100.0
2013,8,8,8,100.0
2013,9,8,8,100.0
2013,10,8,8,100.0
2013,11,8,8,100.0
2013,12,8,6,75.0
2014,0,13,13,100.0
2014,1,13,13,100.0
2014,2,13,12,92.31
2014,3,13,13,100.0
2014,4,13,13,100.0
2014,5,13,13,100.0
2014,6,13,13,100.0
2014,7,13,13,100.0
2014,8,13,13,100.0
2014,9,13,13,100.0
2014,10,13,12,92.31
2014,11,13,8,61.54
2015,0,13,13,100.0
2015,1,13,12,92.31
2015,2,13,13,100.0
2015,3,13,12,92.31
2015,4,13,11,84.62
2015,5,13,11,84.62
2015,6,13,11,84.62
2015,7,13,11,84.62
2015,8,13,11,84.62
2015,9,13,11,84.62
2015,10,13,2,15.38
2016,0,11,11,100.0
2016,1,11,10,90.91
2016,2,11,9,81.82
2016,3,11,9,81.82
2016,4,11,9,81.82
2016,5,11,9,81.82
2016,6,11,9,81.82
2016,7,11,9,81.82
2016,8,11,9,81.82
2016,9,11,6,54.55
2017,0,13,13,100.0
2017,1,13,13,100.0
2017,2,13,13,100.0
2017,3,13,13,100.0
2017,4,13,12,92.31
2017,5,13,12,92.31
2017,6,13,12,92.31
2017,7,13,13,100.0
2017,8,13,5,38.46
2018,0,10,10,100.0
2018,1,10,10,100.0
2018,2,10,10,100.0
2018,3,10,10,100.0
2018,4,10,10,100.0
2018,5,10,10,100.0
2018,6,10,9,90.0
2018,7,10,5,50.0
2019,0,15,15,100.0
2019,1,15,14,93.33
2019,2,15,14,93.33
2019,3,15,14,93.33
2019,4,15,14,93.33
2019,5,15,14,93.33
2019,6,15,7,46.67
2020,0,8,8,100.0
2020,1,8,7,87.5
2020,2,8,7,87.5
2020,3,8,7,87.5
2020,4,8,8,100.0
2020,5,8,6,75.0
2021,0,7,7,100.0
2021,1,7,7,100.0
2021,2,7,7,100.0
2021,3,7,7,100.0
2021,4,7,4,57.14
2022,0,10,10,100.0
2022,1,10,9,90.0
2022,2,10,10,100.0
2022,3,10,6,60.0
2023,0,6,6,100.0
2023,1,6,6,100.0
2023,2,6,6,100.0
2024,0,9,9,100.0
2024,1,9,3,33.33
